Time [s],WAKE,TX,RX,FAULT
2021-04-24T07:47:34.042708500+00:00,1,1,1,1
2021-04-24T07:47:34.484558220+00:00,1,1,0,1
2021-04-24T07:47:34.484558230+00:00,1,1,1,1
2021-04-24T07:47:34.484558244+00:00,1,1,0,1
2021-04-24T07:47:34.484562204+00:00,1,1,1,1
2021-04-24T07:47:34.484566194+00:00,1,1,0,1
2021-04-24T07:47:34.484566208+00:00,1,1,1,1
2021-04-24T07:47:34.484566218+00:00,1,1,0,1
2021-04-24T07:47:34.484574168+00:00,1,1,1,1
2021-04-24T07:47:34.484578156+00:00,1,1,0,1
2021-04-24T07:47:34.484578170+00:00,1,1,1,1
2021-04-24T07:47:34.484578180+00:00,1,1,0,1
2021-04-24T07:47:34.484590122+00:00,1,1,1,1
2021-04-24T07:47:34.484590136+00:00,1,1,0,1
2021-04-24T07:47:34.484590144+00:00,1,1,1,1
2021-04-24T07:47:34.484598108+00:00,1,1,0,1
2021-04-24T07:47:34.484598122+00:00,1,1,1,1
2021-04-24T07:47:34.484598132+00:00,1,1,0,1
2021-04-24T07:47:34.484634044+00:00,1,1,1,1
2021-04-24T07:47:34.484634056+00:00,1,1,0,1
2021-04-24T07:47:34.484634066+00:00,1,1,1,1
2021-04-24T07:47:34.484638036+00:00,1,1,0,1
2021-04-24T07:47:34.484638054+00:00,1,1,1,1
2021-04-24T07:47:34.484638058+00:00,1,1,0,1
2021-04-24T07:47:34.484673972+00:00,1,1,1,1
2021-04-24T07:47:34.484673982+00:00,1,1,0,1
2021-04-24T07:47:34.484673994+00:00,1,1,1,1
2021-04-24T07:47:34.484677962+00:00,1,1,0,1
2021-04-24T07:47:34.484677980+00:00,1,1,1,1
2021-04-24T07:47:34.484677984+00:00,1,1,0,1
2021-04-24T07:47:34.484681956+00:00,1,1,1,1
2021-04-24T07:47:34.484681972+00:00,1,1,0,1
2021-04-24T07:47:34.484681978+00:00,1,1,1,1
2021-04-24T07:47:34.484685948+00:00,1,1,0,1
2021-04-24T07:47:34.484685964+00:00,1,1,1,1
2021-04-24T07:47:34.484685972+00:00,1,1,0,1
2021-04-24T07:47:34.484697926+00:00,1,1,1,1
2021-04-24T07:47:34.484697940+00:00,1,1,0,1
2021-04-24T07:47:34.484697950+00:00,1,1,1,1
2021-04-24T07:47:34.484701918+00:00,1,1,0,1
2021-04-24T07:47:34.484701936+00:00,1,1,1,1
2021-04-24T07:47:34.484701942+00:00,1,1,0,1
2021-04-24T07:47:34.484705912+00:00,1,1,1,1
2021-04-24T07:47:34.484705928+00:00,1,1,0,1
